No.1, R2: 0.844495, MSE: 0.129508, MAE: 0.298071, EV: 0.844603 {'colsample_bytree': 0.6450339294711297, 'gamma': 0.2412021444126577, 'learning_rate': 0.2713390258661485, 'max_depth': 2.0, 'min_child_weight': 7.645445002415963, 'n_estimators': 185.0, 'subsample': 0.8008711646636273}
No.2, R2: 0.829928, MSE: 0.141641, MAE: 0.311806, EV: 0.830674 {'colsample_bytree': 0.6512102414619175, 'gamma': 0.25289474266476697, 'learning_rate': 0.2718822377529331, 'max_depth': 1.0, 'min_child_weight': 7.635818748460749, 'n_estimators': 206.0, 'subsample': 0.7969513307970485}
No.3, R2: 0.812834, MSE: 0.155877, MAE: 0.315236, EV: 0.812886 {'colsample_bytree': 0.650067404430394, 'gamma': 0.24773040688430148, 'learning_rate': 0.27946743210560954, 'max_depth': 3.0, 'min_child_weight': 7.648250381133237, 'n_estimators': 175.0, 'subsample': 0.7960704672392163}
No.4, R2: 0.835319, MSE: 0.137151, MAE: 0.303763, EV: 0.835918 {'colsample_bytree': 0.6477616744946844, 'gamma': 0.2447650296573786, 'learning_rate': 0.27379303551037815, 'max_depth': 2.0, 'min_child_weight': 7.632252736281845, 'n_estimators': 212.0, 'subsample': 0.8089844124831967}
No.5, R2: 0.817142, MSE: 0.152288, MAE: 0.321949, EV: 0.817244 {'colsample_bytree': 0.6452895879204051, 'gamma': 0.25655694495420606, 'learning_rate': 0.2880325896392422, 'max_depth': 2.0, 'min_child_weight': 7.63180191169464, 'n_estimators': 228.0, 'subsample': 0.7974437272045471}
No.6, R2: 0.835907, MSE: 0.136661, MAE: 0.315291, EV: 0.836603 {'colsample_bytree': 0.6520101708532121, 'gamma': 0.24934031614255867, 'learning_rate': 0.2840535887408858, 'max_depth': 2.0, 'min_child_weight': 7.631101307037801, 'n_estimators': 235.0, 'subsample': 0.799590556184108}
No.7, R2: 0.837899, MSE: 0.135002, MAE: 0.303377, EV: 0.837927 {'colsample_bytree': 0.649757175316516, 'gamma': 0.2423995824880532, 'learning_rate': 0.2810687384978316, 'max_depth': 1.0, 'min_child_weight': 7.64605466066933, 'n_estimators': 217.0, 'subsample': 0.8044992617448833}
No.8, R2: 0.835208, MSE: 0.137243, MAE: 0.311609, EV: 0.835882 {'colsample_bytree': 0.6511772945569447, 'gamma': 0.25746511373296777, 'learning_rate': 0.2728986884945279, 'max_depth': 1.0, 'min_child_weight': 7.631511869593739, 'n_estimators': 201.0, 'subsample': 0.797189404965268}
No.9, R2: 0.830229, MSE: 0.141389, MAE: 0.310522, EV: 0.830259 {'colsample_bytree': 0.6484532470446068, 'gamma': 0.2546766204008394, 'learning_rate': 0.2801460140023615, 'max_depth': 2.0, 'min_child_weight': 7.635863068658585, 'n_estimators': 244.0, 'subsample': 0.8075711763384097}
No.10, R2: 0.821864, MSE: 0.148356, MAE: 0.320635, EV: 0.822164 {'colsample_bytree': 0.6549876891166024, 'gamma': 0.25736369098851153, 'learning_rate': 0.28741037265819247, 'max_depth': 2.0, 'min_child_weight': 7.6336202011235095, 'n_estimators': 205.0, 'subsample': 0.8037016436410819}
No.11, R2: 0.837285, MSE: 0.135513, MAE: 0.317283, EV: 0.837352 {'colsample_bytree': 0.6472957562423118, 'gamma': 0.256952175219123, 'learning_rate': 0.2899456501717654, 'max_depth': 2.0, 'min_child_weight': 7.632076468899626, 'n_estimators': 229.0, 'subsample': 0.8024107631928322}
No.12, R2: 0.834013, MSE: 0.138238, MAE: 0.307080, EV: 0.834299 {'colsample_bytree': 0.6464769535408311, 'gamma': 0.24101422135991513, 'learning_rate': 0.28288308653809874, 'max_depth': 2.0, 'min_child_weight': 7.640078275569536, 'n_estimators': 235.0, 'subsample': 0.8038415811715627}
No.13, R2: 0.823273, MSE: 0.147183, MAE: 0.310428, EV: 0.823523 {'colsample_bytree': 0.6478600233495714, 'gamma': 0.24759113652308817, 'learning_rate': 0.2880480575924232, 'max_depth': 1.0, 'min_child_weight': 7.649732938403357, 'n_estimators': 240.0, 'subsample': 0.802775958522141}
No.14, R2: 0.839171, MSE: 0.133942, MAE: 0.300331, EV: 0.839257 {'colsample_bytree': 0.6541666355189675, 'gamma': 0.24436543605072766, 'learning_rate': 0.2843494596687473, 'max_depth': 1.0, 'min_child_weight': 7.631132789448636, 'n_estimators': 172.0, 'subsample': 0.7952920138742584}
No.15, R2: 0.824139, MSE: 0.146461, MAE: 0.309769, EV: 0.824328 {'colsample_bytree': 0.6455312714056907, 'gamma': 0.24913714579898952, 'learning_rate': 0.28874512882451847, 'max_depth': 1.0, 'min_child_weight': 7.639763693993909, 'n_estimators': 184.0, 'subsample': 0.8063704323402812}
No.16, R2: 0.843484, MSE: 0.130351, MAE: 0.293001, EV: 0.844312 {'colsample_bytree': 0.6544470236909258, 'gamma': 0.24384098432385506, 'learning_rate': 0.2862955269110986, 'max_depth': 3.0, 'min_child_weight': 7.648339835541354, 'n_estimators': 181.0, 'subsample': 0.8002903323988075}
No.17, R2: 0.808555, MSE: 0.159440, MAE: 0.322476, EV: 0.808927 {'colsample_bytree': 0.6488065479275421, 'gamma': 0.2405428391162359, 'learning_rate': 0.27816012925413697, 'max_depth': 1.0, 'min_child_weight': 7.635281063103547, 'n_estimators': 203.0, 'subsample': 0.7965718347706066}
No.18, R2: 0.814458, MSE: 0.154524, MAE: 0.320208, EV: 0.815347 {'colsample_bytree': 0.6547127805312725, 'gamma': 0.2582686976395408, 'learning_rate': 0.27892395719709573, 'max_depth': 1.0, 'min_child_weight': 7.634681634930108, 'n_estimators': 193.0, 'subsample': 0.7965978451501063}
No.19, R2: 0.843720, MSE: 0.130154, MAE: 0.303781, EV: 0.843814 {'colsample_bytree': 0.651276981491468, 'gamma': 0.2582937814857189, 'learning_rate': 0.2752488955011539, 'max_depth': 2.0, 'min_child_weight': 7.646203737253288, 'n_estimators': 230.0, 'subsample': 0.8065655135862687}
No.20, R2: 0.847341, MSE: 0.127138, MAE: 0.291631, EV: 0.847341 {'colsample_bytree': 0.6549145565423459, 'gamma': 0.24827954409911637, 'learning_rate': 0.27913359278594085, 'max_depth': 2.0, 'min_child_weight': 7.632875845977201, 'n_estimators': 174.0, 'subsample': 0.8050110809140717}
No.21, R2: 0.823603, MSE: 0.146908, MAE: 0.313178, EV: 0.823648 {'colsample_bytree': 0.6530226135548909, 'gamma': 0.25209422607083526, 'learning_rate': 0.2700743554619122, 'max_depth': 3.0, 'min_child_weight': 7.642233870810587, 'n_estimators': 189.0, 'subsample': 0.8007866756513634}
No.22, R2: 0.822630, MSE: 0.147719, MAE: 0.305975, EV: 0.822640 {'colsample_bytree': 0.6463089498886173, 'gamma': 0.24601726557850298, 'learning_rate': 0.27644300376863945, 'max_depth': 3.0, 'min_child_weight': 7.6432308445185235, 'n_estimators': 170.0, 'subsample': 0.8051959446543377}
No.23, R2: 0.834169, MSE: 0.138109, MAE: 0.310113, EV: 0.834207 {'colsample_bytree': 0.6532145565693279, 'gamma': 0.25068474225997284, 'learning_rate': 0.27079070777761344, 'max_depth': 2.0, 'min_child_weight': 7.637921335766163, 'n_estimators': 195.0, 'subsample': 0.7986619231546489}
